buy_threshold_1,buy_threshold_2,buy_threshold_3,sell_threshold_1,sell_threshold_2,sell_threshold_3,full_total_return_pct,full_benchmark_return_pct,full_excess_return_pct,full_max_drawdown_pct,full_final_equity,full_buys,full_sells,full_strategy_score,full_cagr_pct,full_benchmark_cagr_pct,train_total_return_pct,train_benchmark_return_pct,train_excess_return_pct,train_max_drawdown_pct,train_final_equity,train_buys,train_sells,train_strategy_score,train_cagr_pct,train_benchmark_cagr_pct,test_total_return_pct,test_benchmark_return_pct,test_excess_return_pct,test_max_drawdown_pct,test_final_equity,test_buys,test_sells,test_strategy_score,test_cagr_pct,test_benchmark_cagr_pct,robust_score
65.0,70.0,85.0,15.0,20.0,25.0,637.9199747242737,370.0501494768311,267.8698252474427,-67.12471481940833,737919.9747242737,57,33,604.3576173145696,26.10830472280832,19.677088727559887,400.8637017076372,216.0207772795217,184.84292442811548,-67.12471481940833,500863.7017076372,32,23,367.301344297933,30.82772914371159,21.15545826848697,12.176692956133127,42.357063392451934,-30.180370436318807,-48.61705364117197,112176.69295613312,13,7,-12.131833864452858,4.487859677114403,14.445861132594809,1.3317770282305204
65.0,70.0,80.0,10.0,15.0,20.0,693.1038268665199,370.0501494768311,323.0536773896888,-72.52344916589631,793103.8268665199,51,18,656.8421022835716,27.1683008334052,19.677088727559887,425.03904475476577,216.0207772795217,209.01826747524407,-72.52344916589631,525039.0447547658,25,10,388.7773201718176,31.86032662223004,21.15545826848697,12.28618382587774,42.357063392451934,-30.070879566574195,-51.20330864029911,112286.18382587771,8,5,-13.315470494271814,4.526812821142312,14.445861132594809,1.3049905676396387
65.0,70.0,85.0,10.0,15.0,20.0,697.5689736446415,370.0501494768311,327.5188241678104,-70.6431949192995,797568.9736446415,50,18,662.2473761849917,27.251190400496284,19.677088727559887,435.28378048618447,216.0207772795217,219.2630032066628,-70.6431949192995,535283.7804861845,25,10,399.9621830265347,32.28599016708564,21.15545826848697,11.813733273577242,42.357063392451934,-30.54333011887469,-51.205639655949774,111813.73327357724,11,5,-13.789086554397644,4.358562623894291,14.445861132594809,1.2805275468344783
65.0,70.0,80.0,15.0,20.0,25.0,612.6659783258035,370.0501494768311,242.61582884897248,-68.8901830876417,712665.9783258035,58,33,578.2208867819827,25.59965318002724,19.677088727559887,374.8565934775142,216.0207772795217,158.8358161979925,-68.8901830876417,474856.59347751416,32,23,340.41150193369333,29.66944298386532,21.15545826848697,12.65984534232607,42.357063392451934,-29.697218050125866,-48.610329269567856,112659.84534232608,10,7,-11.645319292457858,4.659572480588414,14.445861132594809,1.2124055556797837
65.0,80.0,90.0,15.0,25.0,30.0,656.2766649830188,370.0501494768311,286.2265155061877,-61.75267111574756,756276.6649830188,62,47,625.4003294251451,26.46846438150865,19.677088727559887,430.0221498798646,216.0207772795217,214.00137260034293,-61.75267111574756,530022.1498798646,41,33,399.1458143219908,32.06822831649681,21.15545826848697,7.358881966862585,42.357063392451934,-34.99818142558935,-41.02844332821666,107358.88196686258,16,10,-13.155339697245743,2.75003519978172,14.445861132594809,1.2091519838168514
65.0,70.0,90.0,10.0,15.0,30.0,533.1571988093374,370.0501494768311,163.10704933250634,-68.22143772090735,633157.1988093373,55,34,499.0464799488837,23.88700915044237,19.677088727559887,319.7755288894097,216.0207772795217,103.75475160988802,-68.22143772090735,419775.5288894097,30,21,285.664810028956,27.03029508154496,21.15545826848697,14.32840730105056,42.357063392451934,-28.028656091401373,-47.282911641975,114328.40730105057,14,9,-9.313048519936938,5.24910581044602,14.445861132594809,1.2005144023824417
65.0,70.0,90.0,15.0,20.0,30.0,544.6229377069997,370.0501494768311,174.5727882301686,-63.737646465058816,644622.9377069997,57,41,512.7541144744703,24.14532984815432,19.677088727559887,345.51247964089737,216.0207772795217,129.49170236137567,-63.737646465058816,445512.47964089736,32,27,313.643656408368,28.297260498878394,21.15545826848697,12.577076998457182,42.357063392451934,-29.77998639399476,-45.94347747088465,112577.07699845718,14,10,-10.394661736985144,4.630188879950903,14.445861132594809,1.1855548981363386
65.0,75.0,80.0,15.0,20.0,30.0,566.8741032643277,370.0501494768311,196.82395378749663,-67.7049877976518,666874.1032643277,61,41,533.0216093655018,24.635262680593463,19.677088727559887,360.6959117100848,216.0207772795217,144.67513443056308,-67.7049877976518,460695.9117100848,37,27,326.84341781125886,29.016362130166428,21.15545826848697,11.878970791653677,42.357063392451934,-30.47809260079826,-46.121006121556775,111878.97079165369,14,10,-11.181532269124713,4.381821270041275,14.445861132594809,1.1501834128854742
65.0,70.0,75.0,15.0,20.0,25.0,585.9942208240451,370.0501494768311,215.94407134721405,-69.93493378171702,685994.2208240451,59,33,551.0267539331866,25.044844794120145,19.677088727559887,370.6973441961732,216.0207772795217,154.67656691665147,-69.93493378171702,470697.34419617313,31,23,335.72987730531463,29.47932350218614,21.15545826848697,12.373302859601765,42.357063392451934,-29.98376053285017,-48.88537358134525,112373.30285960175,8,7,-12.06938393107086,4.557790059020683,14.445861132594809,1.0807186541471858
65.0,75.0,80.0,10.0,20.0,25.0,643.0484059450031,370.0501494768311,272.99825646817203,-69.72413869516909,743048.405945003,60,31,608.1863365974185,26.20971505633316,19.677088727559887,415.165867730617,216.0207772795217,199.14509045109529,-69.72413869516909,515165.867730617,36,22,380.3037983830324,31.443501404308893,21.15545826848697,10.970606321357357,42.357063392451934,-31.386457071094576,-49.65927604125498,110970.60632135737,12,6,-13.859031699270137,4.057211370635705,14.445861132594809,1.0707878411305278
70.0,75.0,80.0,25.0,30.0,35.0,325.63104089267034,370.0501494768311,-44.41910858416071,-63.10722685092925,425631.0408926703,48,81,294.0774274672057,18.30618199540981,19.677088727559887,253.7038777245444,216.0207772795217,37.68310044502269,-63.10722685092925,353703.8777245444,33,64,222.15026429907977,23.4532706802288,21.15545826848697,13.488683178336114,42.357063392451934,-28.86838021411582,-39.91518047606248,113488.68317833613,13,14,-6.468907059695123,4.953085452547268,14.445861132594809,1.0294694060762748
65.0,70.0,90.0,10.0,20.0,25.0,622.8057900706316,370.0501494768311,252.7556405938005,-65.80046590164608,722805.7900706317,57,31,589.9055571198086,25.80576860001176,19.677088727559887,402.9354997665175,216.0207772795217,186.91472248699583,-65.80046590164608,502935.4997665175,32,22,370.0352668156945,30.917829520367967,21.15545826848697,11.287480762803238,42.357063392451934,-31.069582629648696,-49.8665578159756,111287.48076280324,13,6,-13.64579814518456,4.1706343441488825,14.445861132594809,1.0186502196538458
65.0,70.0,90.0,10.0,25.0,30.0,443.2633855903658,370.0501494768311,73.21323611353478,-64.91544685126767,543263.3855903659,58,45,410.805662164732,21.70472944869317,19.677088727559887,276.7138334549947,216.0207772795217,60.69305617547301,-64.91544685126767,376713.8334549947,33,32,244.25611002936083,24.75779284130677,21.15545826848697,14.635903849154497,42.357063392451934,-27.72115954329744,-45.56374587235461,114635.9038491545,14,9,-8.145969087022808,5.35716863426956,14.445861132594809,0.9881713667821468
65.0,70.0,80.0,15.0,25.0,30.0,449.76862824380817,370.0501494768311,79.71847876697711,-68.36957373122301,549768.6282438082,60,47,415.5838413781967,21.87298395643701,19.677088727559887,265.21877029646924,216.0207772795217,49.19799301694755,-68.36957373122301,365218.7702964692,34,33,231.0339834308577,24.114655652689,21.15545826848697,14.79460191123798,42.357063392451934,-27.56246148121395,-44.8824821224683,114794.60191123796,11,10,-7.646639149996171,5.412869471945814,14.445861132594809,0.963875848536788
65.0,80.0,85.0,15.0,25.0,30.0,614.3059605378602,370.0501494768311,244.2558110610292,-64.76681348668413,714305.9605378602,61,47,581.9225537945181,25.6331646705225,19.677088727559887,400.2428440549047,216.0207772795217,184.222066775383,-64.76681348668413,500242.8440549047,40,33,367.85943731156266,30.800668209692184,21.15545826848697,7.357876180548972,42.357063392451934,-34.999187211902964,-41.02899580029448,107357.87618054896,16,10,-13.156621719598265,2.749667423845037,14.445861132594809,0.9553456608893018
65.0,70.0,85.0,10.0,15.0,30.0,496.46225994739257,370.0501494768311,126.41211047056152,-70.20600578979852,596462.2599473926,54,34,461.3592570524933,23.03152915904254,19.677088727559887,295.02409821254537,216.0207772795217,79.00332093302367,-70.20600578979852,395024.0982125454,29,21,259.9210953176461,25.74924110316008,21.15545826848697,14.3282699007369,42.357063392451934,-28.028793491715035,-47.28297499757179,114328.26990073692,14,9,-9.313217598048997,5.249057484042163,14.445861132594809,0.9442658589832816
65.0,70.0,85.0,15.0,20.0,30.0,508.5800097386771,370.0501494768311,138.52986026184607,-67.10245912589001,608580.0097386772,56,41,475.0287801757321,23.319057875171858,19.677088727559887,320.1834493832142,216.0207772795217,104.16267210369251,-67.10245912589001,420183.44938321423,31,27,286.6322198202692,27.05087464088416,21.15545826848697,12.576744664608963,42.357063392451934,-29.78031872784297,-45.943637048772366,112576.74466460897,14,10,-10.39507385977722,4.630070871164005,14.445861132594809,0.936185063037237
