buy_div_pct,buy_rsi25_pct,buy_rsi20_pct,sell_div_pct,sell_rsi75_pct,sell_rsi80_pct,total_trades,win_rate,expectancy,profit_factor,max_drawdown,portfolio_return,final_capital,buy_count,sell_partial_count,sell_full_count,score
20.0,15.0,35.0,100.0,25.0,50.0,5,100.0,30.2,151.01,0.0,2.97,102970.85,5,4,1,403.185
20.0,20.0,25.0,100.0,25.0,50.0,5,100.0,30.2,151.01,0.0,2.97,102970.85,5,4,1,403.185
20.0,20.0,35.0,100.0,25.0,50.0,5,100.0,30.2,151.01,0.0,2.97,102970.85,5,4,1,403.185
30.0,15.0,25.0,100.0,25.0,50.0,5,100.0,30.2,151.01,0.0,2.97,102970.85,5,4,1,403.185
30.0,15.0,35.0,100.0,25.0,50.0,5,100.0,30.2,151.01,0.0,2.97,102970.85,5,4,1,403.185
30.0,20.0,25.0,100.0,25.0,50.0,5,100.0,30.2,151.01,0.0,2.97,102970.85,5,4,1,403.185
30.0,20.0,35.0,100.0,25.0,50.0,5,100.0,30.2,151.01,0.0,2.97,102970.85,5,4,1,403.185
20.0,15.0,25.0,100.0,15.0,30.0,5,100.0,30.2,151.01,0.0,2.61,102608.72,5,4,1,402.825
20.0,15.0,35.0,100.0,15.0,30.0,5,100.0,30.2,151.01,0.0,2.61,102608.72,5,4,1,402.825
20.0,20.0,25.0,100.0,15.0,30.0,5,100.0,30.2,151.01,0.0,2.61,102608.72,5,4,1,402.825
20.0,20.0,35.0,100.0,15.0,30.0,5,100.0,30.2,151.01,0.0,2.61,102608.72,5,4,1,402.825
30.0,15.0,25.0,100.0,15.0,30.0,5,100.0,30.2,151.01,0.0,2.61,102608.72,5,4,1,402.825
30.0,15.0,35.0,100.0,15.0,30.0,5,100.0,30.2,151.01,0.0,2.61,102608.72,5,4,1,402.825
30.0,20.0,25.0,100.0,15.0,30.0,5,100.0,30.2,151.01,0.0,2.61,102608.72,5,4,1,402.825
30.0,20.0,35.0,100.0,15.0,30.0,5,100.0,30.2,151.01,0.0,2.61,102608.72,5,4,1,402.825
20.0,15.0,25.0,100.0,15.0,50.0,5,100.0,30.2,151.01,0.0,2.39,102387.86,5,4,1,402.605
20.0,15.0,35.0,100.0,15.0,50.0,5,100.0,30.2,151.01,0.0,2.39,102387.86,5,4,1,402.605
20.0,20.0,25.0,100.0,15.0,50.0,5,100.0,30.2,151.01,0.0,2.39,102387.86,5,4,1,402.605
20.0,20.0,35.0,100.0,15.0,50.0,5,100.0,30.2,151.01,0.0,2.39,102387.86,5,4,1,402.605
30.0,15.0,25.0,100.0,15.0,50.0,5,100.0,30.2,151.01,0.0,2.39,102387.86,5,4,1,402.605
30.0,15.0,35.0,100.0,15.0,50.0,5,100.0,30.2,151.01,0.0,2.39,102387.86,5,4,1,402.605
30.0,20.0,25.0,100.0,15.0,50.0,5,100.0,30.2,151.01,0.0,2.39,102387.86,5,4,1,402.605
30.0,20.0,35.0,100.0,15.0,50.0,5,100.0,30.2,151.01,0.0,2.39,102387.86,5,4,1,402.605
